built_2026-07-01,symbol,name,market_cap,mic,list_date,cik,composite_figi,outstanding_shares,postal_code,state,country,type,volume,closing_price,weighted
37,TMUS,T-Mobile US Inc,257.485,XNAS,2007-04-19 00:00:00+00:00,0001283699,BBG000NDV1D4,1125420000.0,,,US,Common Stock,5694425.4165282,,0.6
38,NVO,Novo-Nordisk A/S,252.964,XNYS,1981-04-30 00:00:00+00:00,0000353278,BBG000BQBKR3,3390128000.0,,,,ADR,12983352.3160026,,0.6
39,NVS,Novartis AG,251.719,XNYS,1996-11-07 00:00:00+00:00,0001114448,BBG000LYF3S8,2112421867.0,,,,ADR,2039866.7526366,,0.6
40,PM,Philip Morris International Inc,249.786,XNYS,2008-03-17 00:00:00+00:00,0001413329,BBG000J2XL74,1556590000.0,,,US,Common Stock,5022232.062611201,,0.5
41,WFC,Wells Fargo & Co,248.651,XNYS,1962-12-10 00:00:00+00:00,0000072971,BBG000BWQFY7,3203440000.0,,,US,Common Stock,15976455.178579066,,0.5
42,MS,Morgan Stanley,242.412,XNYS,1986-03-21 00:00:00+00:00,0000895421,BBG000BLZRJ2,1596340000.0,,,US,Common Stock,6345018.706935933,,0.5
43,TM,Toyota Motor Corporation American Depositary Shares (Each representing ten Ordinary Shares),241.415,XNYS,1976-08-18 00:00:00+00:00,0001094517,BBG000BPH299,1579498746.0,,,,ADR,554851.0995371667,,0.5
44,GS,Goldman Sachs Group Inc.,231.388,XNYS,1999-05-04 00:00:00+00:00,0000886982,BBG000C6CFJ5,302721092.0,10282,NY,,Common Stock,2407976.370574167,,0.5
45,ABT,Abbott Laboratories,230.733,XNYS,1937-03-01 00:00:00+00:00,0000001800,BBG000B9ZXB4,1740460000.0,,,US,Common Stock,13229316.616596835,,0.5
46,CAT,Caterpillar Inc,230.164,XNYS,1929-12-02 00:00:00+00:00,0000018230,BBG000BF0K17,468480000.0,,,US,Common Stock,3490658.022448833,,0.5
47,CRM,Salesforce Inc,230.079,XNYS,2004-06-23 00:00:00+00:00,0001108524,BBG000BN2DC2,952000000.0,,,US,Common Stock,17717923.06001017,,0.5
48,HSBC,HSBC Holdings PLC,227.272,XNYS,1995-05-11 00:00:00+00:00,0001089113,BBG000C1K7N0,3458952888.0,,,,ADR,1683000.4521587668,,0.5
49,AXP,American Express Co,220.080,XNYS,1977-05-18 00:00:00+00:00,0000004962,BBG000BCQZS4,695880000.0,,,US,Common Stock,3145230.7869121665,,0.5
50,MRK,Merck & Co Inc,214.784,XNYS,1941-01-01 00:00:00+00:00,0000310158,BBG000BPD168,2497780000.0,,,US,Common Stock,11867814.3613246,,0.5
51,LIN,Linde PLC,212.801,XNAS,2018-10-31 00:00:00+00:00,0001707925,BBG01FND0CC1,468910000.0,,,GB,Common Stock,2499491.498192333,,0.5
52,MCD,McDonald's Corp,211.948,XNYS,1965-04-21 00:00:00+00:00,0000063908,BBG000BNSZP1,713600000.0,,,US,Common Stock,4613109.915649666,,0.5
53,RTX,RTX Corp,211.088,XNYS,1934-09-05 00:00:00+00:00,0000101829,BBG000BW8S60,1338540000.0,,,US,Common Stock,5526142.130856301,,0.5
54,SHEL,Shell plc American Depositary Shares (Each represents two Ordinary shares),206.006,XNYS,1984-03-12 00:00:00+00:00,0001306965,BBG0147BN6G2,2922792094.0,,,,ADR,6816411.552614967,,0.5
55,PEP,PepsiCo Inc,205.471,XNAS,1919-12-18 00:00:00+00:00,0000077476,BBG000DH7JK6,1369080000.0,,,US,Common Stock,9385402.853173433,,0.5
56,MU,Micron Technology Inc,203.840,XNAS,1984-06-01 00:00:00+00:00,0000723125,BBG000C5Z1S3,1119130000.0,,,US,Common Stock,57136798.708735965,,0.4
57,RY,Royal Bank of Canada,202.576,XNYS,1995-10-16 00:00:00+00:00,0001000275,BBG000BSSC44,1405339302.0,,,,Common Stock,1629601.8912949334,,0.4
58,TMO,Thermo Fisher Scientific Inc,198.171,XNYS,1980-08-27 00:00:00+00:00,0000097745,BBG000BVDLH9,377610000.0,,,US,Common Stock,2449335.061239133,,0.4
59,DIS,Walt Disney Co,196.316,XNYS,1957-11-12 00:00:00+00:00,0001744489,BBG000BH4R78,1797930000.0,,,US,Common Stock,10147228.497133967,,0.4
60,SHOP,Shopify Inc,196.284,XNAS,2015-05-21 00:00:00+00:00,0001594805,BBG008HBD923,1299660000.0,,,CA,Common Stock,9255104.3238192,,0.4
61,ETH,Ethereum,195.270,,2015-08-07 00:00:00+00:00,,,120683397.10851538,,,,Crypto,207424827624.74963,1618.036901298375,0.4
62,UBER,Uber Technologies Inc,194.778,XNYS,2019-05-10 00:00:00+00:00,0001543151,BBG002B04MT8,2085420000.0,,,US,Common Stock,23218272.4223412,,0.4
63,ANET,Arista Networks Inc,193.683,XNYS,2014-06-06 00:00:00+00:00,0001596532,BBG000N2HDY5,1256870000.0,,,US,Common Stock,8799751.659874666,,0.4
64,APP,Applovin Corp,192.765,XNAS,2021-04-15 00:00:00+00:00,0001751008,BBG006HFPX77,338250000.0,,,US,Common Stock,5197134.749973866,,0.4
65,BX,Blackstone Inc,188.857,XNYS,2007-06-22 00:00:00+00:00,0001393818,BBG000BH0106,1184670000.0,,,US,Common Stock,5561347.381057,,0.4
66,T,AT&T Inc,184.980,XNYS,1983-11-21 00:00:00+00:00,0000732717,BBG000BSJK37,7150390000.0,,,US,Common Stock,54758700.07697086,,0.4
